product_id,Fit,Composition,product_name,product_price,color_name,style_id,color_id,scrapy_datetime
0985159001,Skinny fit,"Cotton 99%, Spandex 1%","

Skinny Jeans



",24.99,Black,0985159,001,2022-09-29 18:07:25
0985159002,Skinny fit,"Cotton 99%, Spandex 1%","

Skinny Jeans



",24.99,Denim blue,0985159,002,2022-09-29 18:07:25
0985159003,Skinny fit,"Cotton 99%, Spandex 1%","

Skinny Jeans



",11.99,Dark gray,0985159,003,2022-09-29 18:07:25
0985159004,Skinny fit,"Cotton 99%, Spandex 1%","

Skinny Jeans



",12.99,Light denim blue,0985159,004,2022-09-29 18:07:25
0985159005,Skinny fit,"Cotton 99%, Spandex 1%","

Skinny Jeans



",24.99,Dark blue,0985159,005,2022-09-29 18:07:25
0985159006,Skinny fit,"Cotton 99%, Spandex 1%","

Skinny Jeans



",24.99,Dark denim blue,0985159,006,2022-09-29 18:07:25
0985159007,Skinny fit,"Cotton 99%, Spandex 1%","

Skinny Jeans



",24.99,Denim blue,0985159,007,2022-09-29 18:07:25
0985159008,Skinny fit,"Cotton 99%, Spandex 1%","

Skinny Jeans



",24.99,Dark gray,0985159,008,2022-09-29 18:07:25
1024256001,Slim fit,"Cotton 99%, Spandex 1%","

Slim Jeans



",19.99,Black,1024256,001,2022-09-29 18:07:25
1024256002,Slim fit,"Cotton 99%, Spandex 1%","

Slim Jeans



",19.99,Light denim blue,1024256,002,2022-09-29 18:07:25
1024256003,Slim fit,"Cotton 99%, Spandex 1%","

Slim Jeans



",19.99,Light denim blue,1024256,003,2022-09-29 18:07:25
1024256004,Slim fit,"Cotton 99%, Spandex 1%","

Slim Jeans



",19.99,Denim blue,1024256,004,2022-09-29 18:07:25
1024256005,Slim fit,"Cotton 99%, Spandex 1%","

Slim Jeans



",19.99,Dark blue,1024256,005,2022-09-29 18:07:25
1024256006,Slim fit,"Cotton 99%, Spandex 1%","

Slim Jeans



",19.99,Dark denim blue,1024256,006,2022-09-29 18:07:25
1024256007,Slim fit,"Cotton 99%, Spandex 1%","

Slim Jeans



",19.99,Dark gray,1024256,007,2022-09-29 18:07:25
1024256008,Slim fit,"Cotton 99%, Spandex 1%","

Slim Jeans



",19.99,White,1024256,008,2022-09-29 18:07:25
1008549001,Regular fit,"Cotton 98%, Spandex 2%","

Regular Jeans



",24.99,Light denim blue,1008549,001,2022-09-29 18:07:25
